rq,game,mechanism,model,run,log_file,source_status,primary_cooperation_pct,receiver_cooperation_pct,n_agents,n_rounds,multiplier,final_group_payoff_per_round,final_payoff_per_agent_round,base_payoff_per_agent_round,mechanism_adjustment_per_agent_round,resource_adjusted_surplus_per_agent_round,normalized_net_welfare_pct,normalized_base_welfare_pct
RQ1,PGG,none,Grok-4.3,2,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Grok-4.3,3,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,DeepSeek-V4-Pro,1,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,DeepSeek-V4-Pro,2,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,DeepSeek-V4-Pro,3,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,TG,none,Llama-3-8B,1,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log1.json,raw_logs,55.361111111111114,57.94279100529101,24.0,30.0,3.0,252.86666666666667,10.536111111111111,10.536111111111111,0.0,5.536111111111111,55.361111111111114,55.361111111111114
RQ1,TG,none,Llama-3-8B,2,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log2.json,raw_logs,55.55555555555556,60.3366769547325,24.0,30.0,3.0,253.33333333333334,10.555555555555555,10.555555555555555,0.0,5.555555555555555,55.55555555555556,55.55555555555556
RQ1,TG,none,Llama-3-8B,3,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log3.json,raw_logs,56.02777777777778,55.69157848324515,24.0,30.0,3.0,254.46666666666667,10.602777777777778,10.602777777777778,0.0,5.602777777777778,56.02777777777778,56.02777777777778
RQ1,TG,none,Llama-3-70B,1,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log1.json,raw_logs,54.08333333333333,36.2712862922947,24.0,30.0,3.0,249.8,10.408333333333333,10.408333333333333,0.0,5.408333333333333,54.083333333333336,54.083333333333336
RQ1,TG,none,Llama-3-70B,2,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log2.json,raw_logs,53.861111111111114,36.198442760942754,24.0,30.0,3.0,249.26666666666668,10.386111111111111,10.386111111111111,0.0,5.386111111111111,53.861111111111114,53.861111111111114
